id,manual terms,role,feature,benefit,
11,"worker, smart home, delivery food, voice command, dinner, day at work",worker,my smart home to be able to order delivery food by simple voice command,I can prepare dinner easily after a long day at work,
12,"home occupant, smart home, light, dusk, home, house",home occupant,my smart home to turn on certain lights at dusk,I can come home to a well-lit house,
13,"worker, smart home, biorhythm app, music, mood, home, work",worker,my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work,I can be relaxed,
14,"tv fan, smart home, favorite show, ",tv fan,my smart home to to ring when my favorite shows are about to start,I will never miss a minute of my favorite shows,
15,"student, class reminder, class",student,Class Reminders,I won't be late for class,
16,"pet owner, video feed, animal",pet owner,Video feed of my animals,I know they are safe when I'm away,
17,"home occupant, smart home, temperature, personal preference",home occupant,my smart home to regulate ideal temperature according to my personal preferences and the outside temperature,I can be comfortable,
18,"working parent, smart home, text, kid, school",working parent,my smart home to send me a text when my kid gets home from school,I can feel comfortable knowing that they made it home safely that day,
19,"hockey fan, smart home, team‘s goal home, home sports experience",hockey fan,my smart home to play my team's goal home when they score,I can immerse myself in a full home sports experience,
20,"parent, smart home, child, activity, home",parent,my smart home to keep me up to date about my children's activities when I'm out of the home,I can know they're safe and positively occupied,
21,"parent, push notification, kid, home, school",parent,my smart home to send me a push notification when my kids arrive home from school,I can know they made it home safety,
22,"cook, stove, food",cook,shut the stove off for me,I can work on other things while the food is cooking,
23,"home occupant, smart home, television show, TV, home",home occupant,my smart home to have a certain television show start on my TV when I arrive home,I can immediately jump into watching it.,
24,"home occupant, smart home, shower, temperature",home occupant,my smart home to buzz when the shower is warm to my desired temperature,I can know when it is optimal for me to get in,
25,"home occupant, smart home, alarm, light, shower, day",home occupant,my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up,I can start my day more efficiently,
26,"home occupant, smart home, sink, tooth, time",home occupant,my smart home to shut off the sink after two minutes when brushing my teeth,I know I have brushed my teeth for at least the minimum required amount of time,
27,"parent, smart home, door, night, child",parent,my smart home to lock the doors at night,my teenage children cannot sneak out,
28,"home occupant, alarm, food preparation, breakfast food, table, toaster, oven, day",home occupant,"my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when I'm ready to eat it",I can start my day more efficiently,
29,"music fan, music, house, audio listening, room",music fan,Music available throughout the house,I don't have to limit my audio listening to a single room,
31,"home occupant, smart home, temperature, weather, energy bill, AC",home occupant,my smart home to adjust the temperature based on the weather outside,I can save on my energy bill by not using the AC unnecessarily ,
33,"driver, smart home, garage door, vehicle, remote control opener",driver,my smart home to open my garage door when it senses my vehicle arriving outside of it,I don't have to worry about carrying a remote control opener,
34,"home occuptant, smart home, light, room, electricity, electricity bill",home occupant,my smart home to shut the lights off for me in rooms with nobody in them,I can save on electricity on my bills,
35,"home occupant, smart home, auto sprinkler, watering, plant",home occupant,my smart home to have auto sprinklers,automatically watering of plants occurs,
37,"home owner, smart home, energy use, recommendation, energy consumption, money, energy bill",home owner,my smart home to monitor my energy use and make recommendations to reduce energy consumption,I will save money on my energy bill.,
38,"parent, smart home, room, disturbance, baby",parent,my smart home to buzz my room if there is a disturbance in my baby's room,I can make sure I can be there in case my baby needs anything,
39,"home owner, control, temperature, money, electricity bill",home owner,Control over Temperature at any time,I can save money on my electricity bill,
40,"home occupant, outdoor safety light, night, family member, pet",home occupant,an outdoor safety light to turn on at night when it senses something other than a family member or pet outside,I can feel safe.,
41,"home occupant, smart home, family member, trusted other, home, family",home occupant,my smart home to notify me when someone other than a family member or trusted other is near my home,my family can be safe,
43,"home owner, smart home, heat souce, ductless heat pump, regular furnace, space heaters, home, weather",home owner,"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof)",my home is comfortable and energy-efficient when the weather is cold outside.,
44,"home occupant, hallway motion detectors, safety",home occupant,hallway motion detectors,safety is increased,
45,"home occupant, smart home, light, time",home occupant,"my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time",it's more convenient for me,
47,"home occupant, smart home, box, home, packaging information, label, status update, package delivery",home occupant,"my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label",I can get easy status updates on package delivery,
48,"home occupant, automatic fragrance sprinkler, bad odour",home occupant,automatic fragrance sprinkler,"as soon as it detects bad odour, it gets activated",
50,"home owner, smart home, air conditioning, window fan, ceiling fan, ductless heat pump",home owner,"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.)",I will be comfortable during hot days.,
52,"home owner, carbon monoxide detector, family, gas",home owner,a Carbon Monoxide detector ,my family is always kept safe from dangerous gasses ,
54,"parent, automated sharp furniture sensor, child, place, alarm",parent,automated sharp furniture sensors,"if my child nears such places, alarm goes off",
55,"home owner, smart home, home, door, intruder",home owner,"my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home",I will be informed quickly if a potential intruder is at my home.,
58,"pet owner, automated food bowl, lunch time, pet",pet owner,automated food bowl,it automatically replenishes itself at lunch time of pet,
59,"cook, smart appliance, information, food",cook,Smart appliances that give me relevant information on the food i'm cooking,Food always gets cooked as much as it's needed,
60,"home occupant, smart home, picture, registered occupant",home occupant,my smart home to greet and take pictures of anyone who enters my home who is not a registered occupant,a person wishing to do harm at home would think twice about doing so.,
61,"pet owner, smartwatch application, smart home, pet, water container",pet owner,to be notified via smartwatch application by my smarthome when my pet's water container is low,so that my pet will always be hydrated and better taken care of. ,
62,"home occupant, temperature sensor, temperature, house",home occupant,temprature sensors,temprature of house remains constant,
63,"home occupant, smart home, weather alert, weather issue, snow, wind",home occupant,my smart home to inform me of any weather alerts for my area,"I can be warned of potential weather issues such as snow, high winds, etc.",
64,"home resident, smart home, video camera, home, door",home resident,my smart home to have video camera's outside my home,I always know who is at my door before checking,
66,"consumer, smart home, news, update, hobby, product",consumer,my smart home to provide news and updates on my hobbies,I can easily learn about new products I may be interested in,
67,"plant owner, smart home, plant, soil, money",plant owner,to be notified by my smarthome when my plant's soil becomes too dry ,so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants.,
68,"person, back pain, bed, smart feature, control, comfort, night‘s sleep",person with back pain,my bed to come with smart features that allow me to control comfort,I get the best night's sleep I can have,
69,"person, smart home, body, health concern, doctor, dentist",person who wants to stay healthy,my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed,so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd.,
71,"home occupant, automated music system, mood, background music",home occupant,automated music system ,it automatically detects my mood and plays background music according to it.,
72,"home owner, smart home, energy consumption, electricity, gas, money, energy bill",home owner,"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual",I can adjust accordingly and save money on energy bills.,
73,"person, smart home, recommendation, activity, food, health goal",person who wants to stay healthy,"my smart home to make daily recommendations of activities or foods that are good for me, i.e. ""the weather is perfect for a nice walk today""","I can be reminded of my health goals, and good ways to achieve them.",
75,"home owner, alert, window, house, intruder, police",home owner,to be alerted when a window is smashed or forced opened from outside the house,I can prepare for an intruder and call the police. ,
76,"parent, socket adapter, accidental shock",parent,socket adapters,accidental shocks are avoided,
